Gene	Associated Phenotype(s)	Inheritance	Associated System(s)
NSD3	LEUKEMIA, ACUTE MYELOID; AML	AD	hematology
SCN5A	SUDDEN INFANT DEATH SYNDROME | SICK SINUS SYNDROME 1; SSS1 | CARDIOMYOPATHY, DILATED, 1E; CMD1E | LONG QT SYNDROME 3; LQT3 | BRUGADA SYNDROME 1; BRGDA1 | ATRIAL FIBRILLATION, FAMILIAL, 10; ATFB10 | PROGRESSIVE FAMILIAL HEART BLOCK, TYPE IA; PFHB1A	AR, Autosomal recessive form vs. multifactorial, AD	cardiovascularHeart, respiratory
TBG	THYROXINE-BINDING GLOBULIN QUANTITATIVE TRAIT LOCUS; TBGQTL	X-linked	laboratoryAbnormalities
SASS6	MICROCEPHALY 14, PRIMARY, AUTOSOMAL RECESSIVE; MCPH14	AR	neurologicBehavioralPsychiatricManifestations, neurologicCentralNervousSystem, headAndNeckHead
TEMPS	TEMPLE SYNDROME	Autosomal dominant (loss of paternal allele)	growthOther, headAndNeckHead, abdomenGastrointestinal, headAndNeckEars, skeletalFeet, growthHeight, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckEyes, laboratoryAbnormalities, growthWeight, neurologicCentralNervousSystem, endocrineFeatures, skeletal, genitourinaryInternalGenitaliaMale, headAndNeckMouth, prenatalManifestations, skeletalSpine, voice
CCDC47	TRICHOHEPATONEURODEVELOPMENTAL SYNDROME; THNS	AR	skinNailsHairSkin, skeletalSkull, chestBreasts, skeletalPelvis, headAndNeckHead, abdomenGastrointestinal, headAndNeckEars, skeletalFeet, abdomenBiliaryTract, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckEyes, laboratoryAbnormalities, abdomenLiver, abdomenSpleen, growthWeight, neurologicCentralNervousSystem, immunology, skeletal, respiratoryAirways, headAndNeckMouth, headAndNeckTeeth, skeletalSpine, muscleSoftTissue, skinNailsHairHair, chestExternalFeatures
CSF1R	BRAIN ABNORMALITIES, NEURODEGENERATION, AND DYSOSTEOSCLEROSIS; BANDDOS | LEUKOENCEPHALOPATHY, HEREDITARY DIFFUSE, WITH SPHEROIDS; HDLS	AR, AD	neurologicCentralNervousSystem, headAndNeckHead, skeletal, chestExternalFeatures, headAndNeckFace, headAndNeckEyes, laboratoryAbnormalities, skeletalSpine, muscleSoftTissue, neurologicBehavioralPsychiatricManifestations, skeletalLimbs
TMEM138	JOUBERT SYNDROME 16; JBTS16	AR	neurologicCentralNervousSystem, skeletalHands, genitourinaryKidneys, headAndNeckEyes
FOXE1	THYROID CANCER, NONMEDULLARY, 4; NMTC4 | HYPOTHYROIDISM, THYROIDAL OR ATHYROIDAL, WITH SPIKY HAIR AND CLEFT PALATE	AR, AD	neoplasia
HSD17B10	HSD10 MITOCHONDRIAL DISEASE; HSD10MD	XLD	cardiovascularHeart, neurologicCentralNervousSystem, headAndNeckEyes, laboratoryAbnormalities, headAndNeckEars, neurologicBehavioralPsychiatricManifestations, metabolicFeatures
FOXE3	AORTIC ANEURYSM, FAMILIAL THORACIC 11, SUSCEPTIBILITY TO; AAT11 | ANTERIOR SEGMENT DYSGENESIS 2; ASGD2	AR, AD	cardiovascularVascular, headAndNeckEyes
PRKDC	IMMUNODEFICIENCY 26 WITH OR WITHOUT NEUROLOGIC ABNORMALITIES; IMD26	AR	genitourinaryExternalGenitaliaMale, growthOther, respiratory, immunology, headAndNeckHead, headAndNeckEars, skeletalFeet, headAndNeckMouth, headAndNeckFace, headAndNeckNose, neurologicCentralNervousSystem, skeletalHands, headAndNeckEyes
SPRY2	IgA NEPHROPATHY, SUSCEPTIBILITY TO, 3; IGAN3	AD	cardiovascularVascular, genitourinaryKidneys, laboratoryAbnormalities
LOR	VOHWINKEL SYNDROME, VARIANT FORM	AD	skinNailsHairSkinElectronMicroscopy, skinNailsHairSkin, headAndNeckEars, headAndNeckTeeth, skinNailsHairSkinHistology, headAndNeckEyes, skinNailsHairHair, skinNailsHairNails
TRPC6	FOCAL SEGMENTAL GLOMERULOSCLEROSIS 2; FSGS2	AD	cardiovascularVascular, genitourinaryKidneys, laboratoryAbnormalities
OHDS	ORTHOSTATIC HYPOTENSIVE DISORDER, STREETEN TYPE	AD	
SPRY4	HYPOGONADOTROPIC HYPOGONADISM 17 WITH OR WITHOUT ANOSMIA; HH17	Autosomal dominant (see MISCELLANEOUS below)	headAndNeckNose, genitourinary, endocrineFeatures, headAndNeckEars, skeletal, neurologicCentralNervousSystem, headAndNeckTeeth
HPPD	HYPERTELORISM, PREAURICULAR SINUS, PUNCTAL PITS, AND DEAFNESS; HPPD	AD	skinNailsHairSkin, headAndNeckEars, skeletalHands, headAndNeckEyes, genitourinaryExternalGenitaliaMale
ADSL	ADENYLOSUCCINASE DEFICIENCY; ADSLD	AR	growthOther, neurologicCentralNervousSystem, headAndNeckHead, headAndNeckEars, headAndNeckMouth, headAndNeckFace, headAndNeckNose, headAndNeckEyes, laboratoryAbnormalities, muscleSoftTissue, neurologicBehavioralPsychiatricManifestations
EHHADH	FANCONI RENOTUBULAR SYNDROME 3; FRTS3	AD	growthOther, genitourinaryKidneys, laboratoryAbnormalities, skeletal, growthHeight, skeletalLimbs, metabolicFeatures
MPLKIP	TRICHOTHIODYSTROPHY 4, NONPHOTOSENSITIVE; TTD4	AR	skinNailsHairSkin, growthOther, headAndNeckHead, headAndNeckEars, headAndNeckFace, headAndNeckNose, headAndNeckEyes, skinNailsHairNails, neurologicCentralNervousSystem, skeletal, genitourinaryInternalGenitaliaMale, headAndNeckMouth, headAndNeckTeeth, cardiovascularHeart, skinNailsHairHair, genitourinaryInternalGenitaliaFemale
PRSS12	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 1; MRT1	AR	
RNF113A	TRICHOTHIODYSTROPHY 5, NONPHOTOSENSITIVE; TTD5	XLD	skinNailsHairSkin, skeletalSkull, growthOther, headAndNeckHead, abdomenGastrointestinal, headAndNeckEars, growthHeight, headAndNeckFace, headAndNeckEyes, neurologicBehavioralPsychiatricManifestations, neurologicCentralNervousSystem, immunology, endocrineFeatures, genitourinaryInternalGenitaliaMale, headAndNeckMouth, headAndNeckTeeth, genitourinaryExternalGenitaliaMale, genitourinaryUreters, muscleSoftTissue, skinNailsHairHair
MYH2	MYOPATHY, PROXIMAL, AND OPHTHALMOPLEGIA	AD	neurologicCentralNervousSystem, skeletal, chestRibsSternumClaviclesAndScapulae, headAndNeckMouth, headAndNeckFace, headAndNeckEyes, skeletalSpine, muscleSoftTissue, headAndNeckNeck
MYH3	CONTRACTURES, PTERYGIA, AND VARIABLE SKELETAL FUSIONS SYNDROME 1A; CPSKF1A | ARTHROGRYPOSIS, DISTAL, TYPE 2A; DA2A | CONTRACTURES, PTERYGIA, AND VARIABLE SKELETAL FUSIONS SYNDROME 1B; CPSKF1B | ARTHROGRYPOSIS, DISTAL, TYPE 2B1; DA2B1 | ARTHROGRYPOSIS, DISTAL, TYPE 2B3; DA2B3	AR, AD	skinNailsHairSkin, skeletalSkull, growthOther, skeletalPelvis, headAndNeckHead, headAndNeckEars, skeletalFeet, growthHeight, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckEyes, headAndNeckNeck, skeletalLimbs, growthWeight, neurologicCentralNervousSystem, skeletal, chestExternalFeatures, headAndNeckMouth, genitourinaryExternalGenitaliaMale, skeletalSpine, muscleSoftTissue, voice, metabolicFeatures
COASY	PONTOCEREBELLAR HYPOPLASIA, TYPE 12; PCH12 | NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 6; NBIA6	AR	neurologicCentralNervousSystem, headAndNeckHead, skeletal, neurologicPeripheralNervousSystem, headAndNeckFace, skeletalFeet, muscleSoftTissue, neurologicBehavioralPsychiatricManifestations
MRE11A	ATAXIA-TELANGIECTASIA-LIKE DISORDER 1; ATLD1	AR	muscleSoftTissue, neurologicCentralNervousSystem, headAndNeckEyes, laboratoryAbnormalities, neurologicPeripheralNervousSystem
MYH6	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 14; CMH14	AD	cardiovascularHeart
MYH7	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 1; CMH1 | MYOPATHY, MYOSIN STORAGE, AUTOSOMAL DOMINANT; MSMA | SCAPULOPERONEAL MYOPATHY, MYH7-RELATED; SPMM | MYOPATHY, MYOSIN STORAGE, AUTOSOMAL RECESSIVE; MSMB | MYOPATHY, DISTAL, 1; MPD1 | CARDIOMYOPATHY, DILATED, 1S; CMD1S	AR, AD	respiratory, cardiovascularVascular, cardiovascularHeart, skeletalFeet, respiratoryLung, headAndNeckMouth, headAndNeckFace, laboratoryAbnormalities, skeletalSpine, muscleSoftTissue, headAndNeckNeck
GAS2L2	CILIARY DYSKINESIA, PRIMARY, 41; CILD41	AR	genitourinaryExternalGenitaliaMale, headAndNeckEars, respiratoryNasopharynx, respiratoryLung
CDKL5	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 2; EIEE2	XLD	respiratory, headAndNeckHead, abdomenGastrointestinal, skeletalFeet, headAndNeckMouth, headAndNeckFace, headAndNeckNose, neurologicCentralNervousSystem, skeletalHands, headAndNeckEyes, skeletalSpine, muscleSoftTissue, neurologicBehavioralPsychiatricManifestations
IE	FOCAL SEGMENTAL GLOMERULOSCLEROSIS 6; FSGS6	AR	muscleSoftTissue, genitourinaryKidneys, laboratoryAbnormalities
MYH8	ARTHROGRYPOSIS, DISTAL, TYPE 7; DA7	AD	skeletalSkull, skeletalPelvis, headAndNeckHead, abdomenGastrointestinal, skeletalFeet, growthHeight, headAndNeckMouth, headAndNeckFace, skeletalHands, headAndNeckEyes, muscleSoftTissue, skeletalLimbs
MYH9	MACROTHROMBOCYTOPENIA AND GRANULOCYTE INCLUSIONS WITH OR WITHOUT NEPHRITIS OR SENSORINEURAL HEARING LOSS; MATINS | DEAFNESS, AUTOSOMAL DOMINANT 17; DFNA17	AD	cardiovascularHeart, genitourinaryKidneys, laboratoryAbnormalities, headAndNeckEars, hematology
EXPH5	EPIDERMOLYSIS BULLOSA, NONSPECIFIC, AUTOSOMAL RECESSIVE; EBNS	AR	skinNailsHairSkin, skinNailsHairSkinHistology, skinNailsHairSkinElectronMicroscopy
ZNF341	HYPER-IgE RECURRENT INFECTION SYNDROME 3, AUTOSOMAL RECESSIVE; HIES3	AR	skinNailsHairSkin, respiratory, immunology, headAndNeckEars, skeletal, headAndNeckMouth, headAndNeckTeeth, headAndNeckFace, headAndNeckNose, neurologicCentralNervousSystem, respiratoryLung, skinNailsHairHair, skinNailsHairNails
ECT	CENTRALOPATHIC EPILEPSY	Isolated cases	neurologicCentralNervousSystem
TBX15	COUSIN SYNDROME	AR	skeletalPelvis, genitourinaryKidneys, headAndNeckEars, skeletalFeet, growthHeight, headAndNeckFace, skeletalHands, headAndNeckEyes, skeletalLimbs, neurologicCentralNervousSystem, chestExternalFeatures, chestRibsSternumClaviclesAndScapulae, headAndNeckMouth, genitourinaryExternalGenitaliaMale, skeletalSpine, genitourinaryExternalGenitaliaFemale
RAF1	NOONAN SYNDROME 5; NS5 | CARDIOMYOPATHY, DILATED, 1NN; CMD1NN	AD	skinNailsHairSkin, prenatalManifestationsAmnioticFluid, headAndNeckHead, headAndNeckEars, growthHeight, headAndNeckFace, headAndNeckNose, headAndNeckEyes, headAndNeckNeck, skeletalLimbs, neurologicCentralNervousSystem, genitourinaryInternalGenitaliaMale, chestRibsSternumClaviclesAndScapulae, headAndNeckMouth, cardiovascularHeart, skinNailsHairHair
GABRG2	EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 74; EIEE74 | EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 6; EIEE6 | FEBRILE SEIZURES, FAMILIAL, 8; FEB8	AD	neurologicCentralNervousSystem, headAndNeckEyes, muscleSoftTissue, headAndNeckHead
TBX18	CONGENITAL ANOMALIES OF KIDNEY AND URINARY TRACT 2; CAKUT2	AD	genitourinaryBladder, genitourinary, genitourinaryUreters, genitourinaryKidneys
TBX19	ACTH DEFICIENCY, ISOLATED; IAD	AR	skinNailsHairSkin, abdomenLiver, neurologicCentralNervousSystem, endocrineFeatures, laboratoryAbnormalities, metabolicFeatures
X1	NEUTROPENIA, SEVERE CONGENITAL, 3, AUTOSOMAL RECESSIVE; SCN3	AR	neurologicCentralNervousSystem, immunology, neoplasia
ANO6	SCOTT SYNDROME; SCTS	AR	
SLC35C1	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIc; CDG2C	AR	skinNailsHairSkin, neurologicCentralNervousSystem, immunology, headAndNeckHead, headAndNeckEars, growthHeight, headAndNeckMouth, hematology, laboratoryAbnormalities, respiratoryLung, muscleSoftTissue
CMTDIA	CHARCOT-MARIE-TOOTH DISEASE, DOMINANT INTERMEDIATE A; CMTDIA	AD	skeletalFeet, neurologicPeripheralNervousSystem
PUS1	MYOPATHY, LACTIC ACIDOSIS, AND SIDEROBLASTIC ANEMIA 1; MLASA1	AR	skinNailsHairSkin, growthOther, neurologicCentralNervousSystem, headAndNeckHead, headAndNeckMouth, hematology, headAndNeckFace, headAndNeckEyes, laboratoryAbnormalities, muscleSoftTissue, metabolicFeatures
XI	DEAFNESS, AUTOSOMAL RECESSIVE 53; DFNB53 | STICKLER SYNDROME, TYPE II; STL2 | OTOSPONDYLOMEGAEPIPHYSEAL DYSPLASIA, AUTOSOMAL DOMINANT; OSMEDA | DEAFNESS, AUTOSOMAL DOMINANT 13; DFNA13 | NEUROPATHY, HEREDITARY SENSORY AND AUTONOMIC, TYPE VII; HSAN7 | FIBROCHONDROGENESIS 2; FBCG2 | FIBROCHONDROGENESIS 1; FBCG1 | EPISODIC PAIN SYNDROME, FAMILIAL, 3; FEPS3 | MARSHALL SYNDROME; MRSHS | OTOSPONDYLOMEGAEPIPHYSEAL DYSPLASIA, AUTOSOMAL RECESSIVE; OSMEDB	AR, AD	skinNailsHairSkin, skeletalSkull, skeletalPelvis, headAndNeckEars, skeletalFeet, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckNeck, prenatalManifestationsDelivery, neurologicCentralNervousSystem, headAndNeckMouth, muscleSoftTissue, abdomenExternalFeatures, headAndNeckHead, abdomenGastrointestinal, cardiovascularHeart, skeletalSpine, growthHeight, neurologicPeripheralNervousSystem, headAndNeckEyes, laboratoryAbnormalities, respiratoryLung, skeletalLimbs, skinNailsHairNails, skeletal, chestExternalFeatures, chestRibsSternumClaviclesAndScapulae, headAndNeckTeeth, prenatalManifestations, neurologic
FGD1	AARSKOG-SCOTT SYNDROME; AAS	XLR	skinNailsHairSkin, abdomenExternalFeatures, growthOther, headAndNeckEars, skeletalFeet, growthHeight, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckEyes, headAndNeckNeck, neurologicCentralNervousSystem, genitourinaryInternalGenitaliaMale, chestRibsSternumClaviclesAndScapulae, headAndNeckMouth, headAndNeckTeeth, genitourinaryExternalGenitaliaMale, skeletalSpine, skinNailsHairHair
Caused by a 1.35-Mb deletion of chromosome 1q21 {UMLS C2675902}	CHROMOSOME 1q21.1 DELETION SYNDROME, 1.35-MB	AD	neurologicCentralNervousSystem, cardiovascularVascular, headAndNeckHead, cardiovascularHeart, skeletalFeet, growthHeight, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckEyes
PUS7	INTELLECTUAL DEVELOPMENTAL DISORDER WITH ABNORMAL BEHAVIOR, MICROCEPHALY, AND SHORT STATURE; IDDABS	AR	growthOther, neurologicCentralNervousSystem, headAndNeckHead, headAndNeckEars, growthHeight, headAndNeckMouth, headAndNeckTeeth, headAndNeckFace, headAndNeckNose, headAndNeckEyes, muscleSoftTissue, neurologicBehavioralPsychiatricManifestations, growthWeight
GNB5	INTELLECTUAL DEVELOPMENTAL DISORDER WITH CARDIAC ARRHYTHMIA; IDDCA | LANGUAGE DELAY AND ATTENTION DEFICIT-HYPERACTIVITY DISORDER/COGNITIVE IMPAIRMENT WITH OR WITHOUT CARDIAC ARRHYTHMIA; LADCI	AR	neurologicCentralNervousSystem, abdomenGastrointestinal, cardiovascularHeart, headAndNeckEyes, muscleSoftTissue, neurologicBehavioralPsychiatricManifestations
GNB4	CHARCOT-MARIE-TOOTH DISEASE, DOMINANT INTERMEDIATE F; CMTDIF	AD	skeletalFeet, neurologicPeripheralNervousSystem
CEP250	CONE-ROD DYSTROPHY AND HEARING LOSS 2; CRDHL2	AR	headAndNeckEars, headAndNeckEyes
GNB1	MENTAL RETARDATION, AUTOSOMAL DOMINANT 42; MRD42	AD	growthOther, neurologicCentralNervousSystem, genitourinaryKidneys, muscleSoftTissue, headAndNeckMouth, headAndNeckEyes
GNB3	NIGHT BLINDNESS, CONGENITAL STATIONARY, TYPE 1H; CSNB1H | HYPERTENSION, ESSENTIAL	AR, Multifactorial	cardiovascularVascular, headAndNeckEyes
GTP	DYSTONIA, DOPA-RESPONSIVE; DRD | HYPERPHENYLALANINEMIA, BH4-DEFICIENT, B; HPABH4B	AR, AD	growthOther, neurologicCentralNervousSystem, abdomenGastrointestinal, headAndNeckMouth, headAndNeckEyes, laboratoryAbnormalities, skeletalSpine, neurologicBehavioralPsychiatricManifestations, headAndNeckNeck, skeletalLimbs, metabolicFeatures
DLL3	SPONDYLOCOSTAL DYSOSTOSIS 1, AUTOSOMAL RECESSIVE; SCDO1	AR	
DLL4	ADAMS-OLIVER SYNDROME 6; AOS6	AD	skinNailsHairSkin, skeletalSkull, headAndNeckHead, cardiovascularVascular, genitourinaryKidneys, abdomenGastrointestinal, cardiovascularHeart, skeletalFeet, abdomenLiver, skeletalHands, abdomenSpleen, skinNailsHairNails
SATB2	GLASS SYNDROME; GLASS	AD	skinNailsHairSkin, abdomenExternalFeatures, growthOther, headAndNeckHead, headAndNeckEars, skeletalFeet, growthHeight, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckEyes, laboratoryAbnormalities, neurologicBehavioralPsychiatricManifestations, skinNailsHairNails, neurologicCentralNervousSystem, headAndNeckMouth, headAndNeckTeeth, skinNailsHairHair
MERTK	RETINITIS PIGMENTOSA 38; RP38	AR	headAndNeckEyes
OPN1LW	BLUE CONE MONOCHROMACY; BCM | COLORBLINDNESS, PARTIAL, PROTAN SERIES; CBP	XLR, X-linked	headAndNeckEyes
ISPD	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH BRAIN AND EYE ANOMALIES), TYPE A, 7; MDDGA7 | MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (LIMB-GIRDLE), TYPE C, 7; MDDGC7	AR	headAndNeckHead, headAndNeckEars, abdomen, neurologicPeripheralNervousSystem, headAndNeckFace, neurologicCentralNervousSystem, skeletalHands, headAndNeckEyes, laboratoryAbnormalities, skeletalLimbs, respiratory, chestRibsSternumClaviclesAndScapulae, prenatalManifestationsMovement, muscleSoftTissue
mis5	LACTOSE INTOLERANCE, ADULT TYPE	AD	abdomenGastrointestinal, laboratoryAbnormalities
{120700.0005})	HEMOLYTIC UREMIC SYNDROME, ATYPICAL, SUSCEPTIBILITY TO, 5; AHUS5	AD	cardiovascularVascular, immunology, hematology, laboratoryAbnormalities, genitourinaryKidneys
TMEM5	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH BRAIN AND EYE ANOMALIES), TYPE A, 10; MDDGA10	AR	neurologicCentralNervousSystem, headAndNeckEyes, genitourinaryInternalGenitaliaMale, genitourinaryInternalGenitaliaFemale, abdomen, skeletalLimbs
IR17RC	CANDIDIASIS, FAMILIAL, 9; CANDF9	AR	skinNailsHairSkin, immunology, headAndNeckMouth, skinNailsHairNails
ELP2	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 58; MRT58	AR	muscleSoftTissue, neurologicBehavioralPsychiatricManifestations, neurologicCentralNervousSystem, growthHeight
KAT6A	MENTAL RETARDATION, AUTOSOMAL DOMINANT 32; MRD32	AD	skeletalSkull, growthOther, respiratory, cardiovascularVascular, headAndNeckHead, abdomenGastrointestinal, headAndNeckEars, headAndNeckMouth, headAndNeckTeeth, headAndNeckFace, cardiovascularHeart, headAndNeckNose, neurologicCentralNervousSystem, headAndNeckEyes, muscleSoftTissue
PDA1	PATENT DUCTUS ARTERIOSUS 1; PDA1	AR	cardiovascularVascular
CNNM2	HYPOMAGNESEMIA 6, RENAL; HOMG6 | HYPOMAGNESEMIA, SEIZURES, AND MENTAL RETARDATION 1; HOMGSMR1	AD	neurologicCentralNervousSystem, genitourinaryKidneys, laboratoryAbnormalities, muscleSoftTissue, headAndNeckHead
CNNM4	JALILI SYNDROME	AR	headAndNeckEyes, headAndNeckTeeth
RFWD3	FANCONI ANEMIA, COMPLEMENTATION GROUP W; FANCW	AR	growthOther, neurologicCentralNervousSystem, headAndNeckHead, abdomenGastrointestinal, hematology, headAndNeckFace, skeletalHands, laboratoryAbnormalities, skeletalLimbs, abdomenSpleen, genitourinaryKidneys
8A	CEREBELLAR ATAXIA, MENTAL RETARDATION, AND DYSEQUILIBRIUM SYNDROME 4; CAMRQ4 | THROMBOCYTOPENIA-ABSENT RADIUS SYNDROME; TAR | MITOCHONDRIAL COMPLEX IV DEFICIENCY	AR	skinNailsHairSkin, growthOther, skeletalPelvis, headAndNeckHead, abdomenGastrointestinal, cardiovascularHeart, growthHeight, hematology, abdomenPancreas, headAndNeckFace, headAndNeckNose, respiratory, skeletalHands, headAndNeckEyes, laboratoryAbnormalities, skeletalLimbs, genitourinaryKidneys, neurologicCentralNervousSystem, immunology, chestRibsSternumClaviclesAndScapulae, abdomenLiver, headAndNeckEars, skeletalSpine, muscleSoftTissue, metabolicFeatures
RSRC1	INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL RECESSIVE 70; MRT70	AR	headAndNeckFace, genitourinaryBladder, headAndNeckNose, neurologicCentralNervousSystem, headAndNeckEyes, neurologicBehavioralPsychiatricManifestations
UNC84	SPERMATOGENIC FAILURE 16; SPGF16	AR	genitourinaryInternalGenitaliaMale
CSPP1	JOUBERT SYNDROME 21; JBTS21	AR	respiratory, genitourinaryKidneys, headAndNeckEars, chestExternalFeatures, chestRibsSternumClaviclesAndScapulae, headAndNeckNose, abdomenLiver, neurologicCentralNervousSystem, headAndNeckEyes, respiratoryLung
Caused by chromosome 14 paternal uniparental disomy {UMLS C4017770}	KAGAMI-OGATA SYNDROME	Autosomal dominant (loss of maternal allele)	prenatalManifestationsAmnioticFluid, skeletalPelvis, headAndNeckHead, abdomenGastrointestinal, skeletalSkull, headAndNeckEars, prenatalManifestationsPlacentaAndUmbilicalCord, respiratoryLarynx, headAndNeckFace, headAndNeckNose, respiratory, skeletalHands, headAndNeckEyes, respiratoryLung, abdomenLiver, headAndNeckNeck, prenatalManifestationsDelivery, skeletalLimbs, abdomenSpleen, abdomenExternalFeatures, neurologicCentralNervousSystem, cardiovascularVascular, skeletal, chestExternalFeatures, chestRibsSternumClaviclesAndScapulae, headAndNeckMouth, cardiovascularHeart, skeletalSpine, skinNailsHairHair
ABCG8	SITOSTEROLEMIA	AR	cardiovascularVascular, hematology, abdomen, abdomenLiver, laboratoryAbnormalities, muscleSoftTissue, skeletalLimbs, abdomenSpleen
C1R	EHLERS-DANLOS SYNDROME, PERIODONTAL TYPE, 1; EDSPD1	AD	skinNailsHairSkinElectronMicroscopy, skinNailsHairSkin, immunology, abdomenGastrointestinal, growthHeight, headAndNeckMouth, headAndNeckTeeth, headAndNeckFace, skeletalHands, skeletalSpine, cardiovascularVascular, voice, skeletalLimbs
RETREG1	NEUROPATHY, HEREDITARY SENSORY AND AUTONOMIC, TYPE IIB; HSAN2B	AR	skinNailsHairSkin, skeletalFeet, neurologicPeripheralNervousSystem, genitourinaryBladder, skeletalHands, headAndNeckEyes, skeletal, muscleSoftTissue
MYO9A	MYASTHENIC SYNDROME, CONGENITAL, 24, PRESYNAPTIC; CMS24	AR	respiratory, abdomenGastrointestinal, skeletal, skeletalLimbs, prenatalManifestationsMovement, skeletalHands, headAndNeckEyes, skeletalFeet, muscleSoftTissue, neurologicCentralNervousSystem
GLC1P	GLAUCOMA 1, OPEN ANGLE, P; GLC1P	AD	headAndNeckEyes
POLR1D	TREACHER COLLINS SYNDROME 2; TCS2	AD	headAndNeckFace, headAndNeckNose, neurologicCentralNervousSystem, headAndNeckEyes, headAndNeckEars, headAndNeckMouth
CPN1	CARBOXYPEPTIDASE N DEFICIENCY	AR	
RANBP2	ENCEPHALOPATHY, ACUTE, INFECTION-INDUCED, SUSCEPTIBILITY TO, 3; IIAE3	AD	respiratory, immunology, neurologicCentralNervousSystem, laboratoryAbnormalities
PIGA	MULTIPLE CONGENITAL ANOMALIES-HYPOTONIA-SEIZURES SYNDROME 2; MCAHS2 | PAROXYSMAL NOCTURNAL HEMOGLOBINURIA 1; PNH1	XLR, Somatic mutation	skinNailsHairSkin, prenatalManifestationsAmnioticFluid, growthOther, genitourinaryKidneys, skeletalSkull, headAndNeckEars, growthHeight, hematology, neurologicPeripheralNervousSystem, headAndNeckFace, headAndNeckNose, headAndNeckEyes, laboratoryAbnormalities, headAndNeckNeck, abdomenLiver, growthWeight, genitourinaryBladder, neurologicCentralNervousSystem, skeletal, headAndNeckMouth, headAndNeckTeeth, genitourinaryExternalGenitaliaMale, cardiovascularHeart, headAndNeckHead, skinNailsHairNails
CKAP2L	FILIPPI SYNDROME; FLPIS	AR	skeletalSkull, growthOther, headAndNeckHead, cardiovascularHeart, skeletalFeet, headAndNeckFace, headAndNeckNose, skeletalHands, headAndNeckEyes, growthWeight, neurologicCentralNervousSystem, cardiovascularVascular, genitourinaryInternalGenitaliaMale, headAndNeckMouth, headAndNeckTeeth, skinNailsHairHair
CRHR1	KOOLEN-DE VRIES SYNDROME; KDVS	AD	skinNailsHairSkin, growthOther, skeletalPelvis, genitourinaryKidneys, abdomenGastrointestinal, headAndNeckEars, skeletalFeet, growthHeight, respiratoryLarynx, headAndNeckFace, headAndNeckNose, neurologicCentralNervousSystem, skeletalHands, headAndNeckEyes, neurologicBehavioralPsychiatricManifestations, voice, skeletalLimbs, growthWeight, genitourinary, skeletal, genitourinaryInternalGenitaliaMale, chestRibsSternumClaviclesAndScapulae, headAndNeckMouth, headAndNeckTeeth, genitourinaryBladder, cardiovascularHeart, skeletalSpine, muscleSoftTissue, skinNailsHairHair
SLC4A11	CORNEAL DYSTROPHY AND PERCEPTIVE DEAFNESS; CDPD | CORNEAL ENDOTHELIAL DYSTROPHY; CHED	AR	
TGFB1	CAMURATI-ENGELMANN DISEASE; CAEND | INFLAMMATORY BOWEL DISEASE, IMMUNODEFICIENCY, AND ENCEPHALOPATHY; IBDIMDE | CYSTIC FIBROSIS; CF	AR, AD	skinNailsHairSkin, skeletalSkull, growthOther, abdomenGastrointestinal, headAndNeckEars, abdomenBiliaryTract, hematology, abdomenPancreas, respiratory, headAndNeckEyes, laboratoryAbnormalities, skeletalLimbs, neurologicCentralNervousSystem, immunology, endocrineFeatures, genitourinaryInternalGenitaliaMale, headAndNeckTeeth, cardiovascularHeart, skeletalSpine, muscleSoftTissue, respiratoryAirways, genitourinaryInternalGenitaliaFemale
TGFB2	LOEYS-DIETZ SYNDROME 4; LDS4	AD	skinNailsHairSkin, skeletalPelvis, cardiovascularHeart, skeletalFeet, headAndNeckFace, skeletalHands, headAndNeckEyes, respiratoryLung, skeletalLimbs, neurologicCentralNervousSystem, cardiovascularVascular, skeletal, chestRibsSternumClaviclesAndScapulae, headAndNeckMouth, genitourinaryExternalGenitaliaMale, skeletalSpine, genitourinaryExternalGenitaliaFemale
