Gene	Inheritance
ALDH18A1	AR, AD
DUSP6	Autosomal dominant (see MISCELLANEOUS below)
KRT6C	AD
ICOS	AR
LRRC8A	AD
SHPK	AR
ASD1	Autosomal dominant in occasional families
MCMDC1	AR
OTULIN	AR
J	AR, AD
RDX	AR
{607067})	AD
TBR1	AD
FERMT3	AR
FERMT1	AR
ATFB1	AD
BCOR	XLD
RAD54B	Somatic mutation
ANO5	AR, AD
PDGFRA	AD, Somatic mutation
S28	AD
VWA3B	AR
IDUA	AR
BCAP31	XLR
CCL11	Autosomal dominant vs. multifactorial
LFNG	AR
ACRPS	AD
GAIP	AR
G6B	AR
MDC1B	AR
TCBE	AR
ABHD5	AR
LEM	AR, AD
GLB1	AR
LEP	AR
TINF2	AD
NKX3-2	AR
PITPNM3	AD
DGUOK	AR
C1NH	AD
TMLHE	XLR
TITF1	AD
AUTS4	AD
AUTS5	AD
AUTS2	AD
CD191	AR
PLCE1	AR
TWINKLE	AD
PRPH2	AD
HJV	AR
MDCMP	AR
AUTS8	Isolated cases
ADAM10	AD
MRT4	AR
FAM83H	AD
IKBKAP	AR
GPR56	AR
BMP15	X-linked
ADAM17	AR
MRT9	AR
PDYN	AD
SERPINA1	AR
B3GNT1	AR
GABRD	AD
DFNB5	AR
EXOC6B	AR
PLOD2	AR
PLOD3	AR
PLOD1	AR
NRAS	Somatic mutation, Somatic mosaicism, AD, Somatic
Contiguous gene deletion of at least 16Mb encompassing 39 genes on 13q14 {UMLS C3279307}	AD
PMPCB	AR
FOXRED1	AR
DSPP	AD
Caused by contiguous gene duplication of 3.2 to 19.8 Mb on chromosome 17p12-p11.2 {UMLS C4228162}	AD
CCDC88A	AR
MICOS13	AR
DACT	AD
Contiguous duplication of 2.2Mb on chromosome 17q23.1-q23.2 {UMLS C3552836}	AD
DGKE	AR
ICK	AR, AD
DNMT3A	AD
CACNA1G	AD
GRIN2D	AD
RAD21	AR, AD
EIG3	AR
DFNA49	AD
DKC1	XLR
DDX58	AD
PTGIS	Multifactorial
KIDINS220	AD
ABCD3	AR
MYOZ2	AD
ALDH6A1	AR
DDX59	AR
SNRPN	Autosomal dominant (loss of paternal allele)
CNC	AD
NR2E3	AR, AD
SNRPB	AD
C21orf2	AR
BCS1L	AR
RTEL1	AD
NPM1	AD
BCL10	AR, Somatic mutation
PACS2	AD
SNRPE	AD
CFTDX	XLD
PFC	XLR
GFM1	AR
GFI1	AD
MAST1	AD
UQCRQ	AR
MXI1	Somatic mutation
RNF168	AR
AKR1D1	AR
INDX	XLD
UNC45B	AD
AMTN	AD
NEDD4L	AD
BHLHA9	AR
DEL13q14	AD
DVL	AD
BRAF	AD, Somatic mutation
EJM4	AD
AK7	AR
EJM9	AD
ZDHHC15	XLD
SMARCC2	AD
SDCCAG8	AR
PCSK9	AD
ESPN	AR
RP29	AR
CTC1	AR
RHBDf2	AD
PRKAG2	AD
MEN1	AD
UCP3	AD
DEL1q21	AD
JPH2	AD
POGLUT1	AR, AD
TTID	AD
GABRB1	AD
SIK	AR
SEMA4A	AR, AD
TYK2	AR
HPSE2	AR
LEMD3	AD
LEMD2	AR
TAT	AR
QARS	AR
TAR	AD
GATM	AR
G-protein)	AD
RETN	AD
TAZ	XLR
HPS3	AR
RPL18	AD
MCDR3	AD
GGT1	AR
SCN4A	AR, AD
TAM	Possible disomic homozygosity at 21q11.2
MMP20	AR
SCN4B	AD
CERS3	AR
SLITRK6	AR
LRP2	AR
TWIST1	AD
OPN1SW	Autosomal dominant (7q31.3-q32)
DFNA7	AD
ALOXE3	AR
CAMTA1	AD
ZNF687	AD
GIF	AR
PIK3C2A	AR
LRP1	AR
IQCE	AR
RUN	AR
TRAF3IP1	AR
BBS12	AR
FRRS1L	AR
TTI2	AR
DDX41	AD
{188450.0001})	AR
D2HGDH	AR
GATA	AR, AD
PACD	AD
PTEN	AR, AD, Somatic mutation
POP1	AR
ANGPTL4	AD
ANGPTL3	AR
COLEC10	AR
COLEC11	AR
FDX2	AR
CERS1	AR
KLC2	AR
CEP78	AR
PSMD12	AD
CTCF	AD
L35A	AD
RASGRP2	AR
KDM6A	XLD
MTCYB	Mitochondrial
ACTA1	AD
MMP13	AR, AD
DSTYK	AR, AD
CDKN1B	AD
MMP19	AD
TSHZ1	AD
MLL2	AD
MYO18B	AR
PRG4	AR
IGSF3	AR
SETBP1	AD
TPK1	AR
EDNRA	AD
EDNRB	AR, AD
TWIST2	AR, AD
TDO2	AR
VVS	AD
CHCHD2	AD
ETL2	AD
APOE	AR, AD, Autosomal dominant allele (19q) with additional multifactorial component in late-onset cases
APOB	AR, AD
ETL6	AD
FARSB	AR
AHR	AR
MIR2861	AD
TCF2	AD
NDUFV2	AR
CYP2C	AR
PPR	AR
NF2	AD
NF1	AD
ARID2	AD
KDSR	AR
GRIN2B	AD
DYNC2LI1	AR
HNMT	Autosomal dominant vs. multifactorial, AR
BFSP2	AD
B3GLCT	AR
EDARADD	AR, AD
HCS	AR
CDAN3	AD
FRAS1	AR
TSPYL1	AR
SPRTN	AR
SCA18	AD
KCNQ4	AD
KCNQ5	AD
KCNQ2	AD
KCNQ3	AD
NCAPD2	AR
NCAPD3	AR
SLC39A8	AR
HOXC13	AR
MMACHC	AR
MTCO1	AR, Mitochondrial
BLK	AD
LOAS	X-linked
LHX4	AD
RECQL3	AR
RTTN	AR
SLC39A5	AD
PDGFRL	Somatic mutation
PREPL	AR
CABP4	AR
CABP2	AR
TCN2	AR
CCA1	AD
PNKD2	AD
Caused by a 5.1-Mb duplication of chromosome Xq27.3-q28 {UMLS C3275523}	XLR
FBXO31	AR
ATXN8	AD
ATXN7	AD
VWF	AR, AD
HARS2	AR
TS2	Somatic mutation
ATXN3	AD
DNASE1L3	AR
ATXN1	AD
SCN2B	AD
MYH11	AD
TUKLS	AR
S8	AR
B3GALT6	AR
PPP2R1A	AD
ARHGEF10	AD
SMG9	AR
S1	AR
DUPXp11.23p11.22	XLD
S7	AR
LMF1	AR
RET	AD
MIB1	AD
PEX19	AR
MBOAT7	AR
PTGER2	AR
AKAP10	AD
site-1 gene ({603355.0001})	AR
KCTD7	AR
CHAMP1	AD
COL2A1	Autosomal dominant vs. multifactorial, AD
HTRA1	AR, AD
HTRA2	AR
TSC1	Somatic mutation, AD
HMBS	AD
CYP2R1	AR
TECR	AR
CFEOM3C	AD
BPGM	AR
SLC30A10	AR
SMC3	AD
CTSA	AR
NEDD4	AD
PYROXD1	AR
MDRV	AD
ALAS2	XLR, X-linked
{300474})	XLR
COX7B	XLD
KONDS	AR
LNPK	AR
KIND1	AR
ROM1	AD
ROGDI	AR
LEPR	AR
CPOX	AD
DNAH1	AR
PTLS	Isolated cases
NALP7	AR
ALG10	AD
ALG11	AR
Caused by deletion of 3.7Mb on chromosome 6q13-q14 {UMLS C3278940}	Isolated cases
ALG13	XLD
ALG14	AR
WEE1	AR
MCM2	AD
MTFMT	AR
PCLO	AR
PBCRA1	AD
BMPR1A	AD
SOX17	AD
NTN1	AD
BMPR1B	AR, AD
PAURT1	AD
BANF1	AR
ZMYND15	AR
FOXP1	AD
TBP	AD
GPD1	AR
SA	AD
LMOD3	AR
GREB1L	AD
MORC2	AD
SDR9C7	AR
SPDA2	AD
DFNB26	AR
B4GALNT1	AR
ALK1	AD
ANKH	AD
ASCL1	AD
DEL14q11q22	Isolated cases
EGFR	AR, Somatic mutation
NPR2	AR, AD
PTPRZ1	Not determined
BAP1	AD
ALOX5AP	Multifactorial predisposition
WDR81	AR
MRXSA	XLR
AP1S3	AD
NDE1	AR
GYG1	AR
PYGM	AR
CAD	AR
CYP27A1	AR
SIM1	AD
SPTBN4	AR
MRSD	X-linked (Xq28-qter)
DYSF	AR
BTD	AR
PDE1C	AD
94% {UMLS C1860798};\nMosaic trisomy 21	Isolated cases
PDCD1	Multifactorial
IMPDH1	AD
DYS	AR
HNF1B	AD
DYM	AR
HNF1A	AD, Autosomal dominant (12q22-qter), Autosomal recessive susceptibility
PGR	AR
DFNB51	AR
CXCR4	AD
PRKRA	AR
{313700.0008})	XLR
CLRN1	AR
CACT	AR
RNASEH1	AR
ZRS	AD
MYBPC1	AR, AD
COA5	AR
QRICH2	AR
QRICH1	AD
DDRGK1	AR
ADAT3	AR
CAMK2A	AR, AD
PCSK1	AR
CRYBB3	AD
CRYBB1	AD
SEPSECS	AR
TTBK2	AD
MASS1	AD
L2HGDH	AR
XXV	AR
DMXL2	AR, AD
ARSE	XLR
SHFLD3	AD
ARSG	AR
NPCA2	Questionably mendelian, but strong genetic factor involved
SMCHD1	AD
NMLFS	AD
HEXA	AR
OGT	XLR
HEXB	Autosomal recessive with multiple alleles and compounds
CAMPD1	AD
RBMX	XLR
ANK1	AD
CLCNKA	Digenic recessive
ANK3	AR
CHRNG	AR
CHRND	AR, AD
CHRNE	AR, AD
EEF2	AD
FUT8	AR
Caused by a ring chromosome 14 {UMLS C4228247}	Isolated cases
NR1H4	AR
ZNF	AD
GHR	AR, AD
EPHX1	AR
RLBP1	AR, AD
RPGR	AR, XLR, X-linked
COQ8A	AR
RPE65	Autosomal recessive with at least 6 different loci, AR
TMC6	AR
HYLS1	AR
AGXT2	AR
ANKRD11	AD
FBXO38	AD
PYCR2	AR
FBLN1	AD
FSHD1	AD
FBLN5	AR, AD
IBD11	Multifactorial
GNAI3	AD
ADAMTS3	AR
ADAMTS2	AR
MDH2	AR
COX6A1	AR
MHS4	AD
MAFD2	X-linked dominant vs. multifactorial
SP110	AR
AMBN	AR
ARHGEF1	AR
DDHD	AR
TSPEAR	AR
PROKR2	AD
CBFB	Isolated cases, AD
SC5DL	AR
TEX14	AR
CDH1	AD, Somatic mutation
CDH3	AR
RP1L1	AD
AMPD1	AR
MCOR	AD
LIPA	AR
LIPC	AR, AD
PFHB2	AD
LIPE	AR
CENPJ	AR
IFITM5	AD
SNAP25	AD
LIPI	AD
CENPF	AR
CENPE	AR
PKDTS	Autosomal dominant contiguous deletion of TSC2 and PKD1
L	AR, XLR, AD
Caused by mutation in the complement component 2 gene (C2	AR
EIF2B3	AR
2D	AR, AD
LDB3	AD
CLCF1	AR
PEX11B	AR
2A	AR, AD
2B	AR, AD
2C	AR, AD
ANK2	AD
EIF2B1	AR
PAFAH1B1	AD
KPTN	AR
IL2RG	XLR
GH1	AR, AD
TRPC3	AD
SCARB2	AR
VCAN	AD
ARSA	AR
PRF1	AR
NT5C2	AR
ADGRG6	AR
{APOA1	AD
CYLD	AD
MALT1	AR
ADGRG1	AR
MRPL44	AR
ANC	AD
TRIP4	AR
DNAJC12	AR
WNT7A	AR
MEIOB	AR
SAMD12	AD
KMT2C	AD
NGF	AR
LITAF	AD
MRT11	AR
MRT10	AR
CMTX3	XLR
CMTX2	XLR
ARSB	AR
TREM2	AR
PROS1	AR, AD
SEC61	AD
SEC63	AD
DHX38	AR
GMNN	AD
CNTN1	AR
HDC	AD
LAMB1	AR
ANXA5	AD
LAMB3	AR, AD
LAMB2	AR
ATP7A	XLR
CRADD	AR
ATP7B	AR
WNT3	AR
SH2	XLR
SH3	AR, AD
NEK2	AR
NEK1	AR, AD
ADAR	AR, AD
ESRRB	AR
NEK8	AR
NEK9	AR, Somatic mutation
I	AR, Mitochondrial, AD, Multifactorial, XLR
BMP	AR
GP6	AR
DENN	AR
MHC2TA	AR, Multifactorial
QDPR	AR
IIIA	AR
IIIB	AR
E1	AR, AD
MTP	AR
E3	AR, AD
E2	AD
C12ORF62	AR
DHPS	AR
PPKP3	AD
C12ORF65	AR
C7orf10	AR
PARK21	AD
ADA2	AR
TIMMDC1	AR
SRXX2	AD
SRXX3	XLD
CNGA3	AR
PSMC3IP	AR
DUPXq25	X-linked
SHH	AD
CCDC8	AR
PHEX	XLD
DYNC2H1	AR
ES	AD
{136850.0003})	AD
EPOR	AD
EGLN1	AD
Caused by deletion of mtDNA {UMLS C3151957}	Mitochondrial
MTHFD1	AR
MCM6	AD
ATP6B1	AR
RIPOR2	AR
DNAH9	AR
MGS	AR
BBS10	AR
NR0B1	XLR, X-linked
MYBPC3	Autosomal dominant (incomplete penetrance), AD
HS6ST1	AD
HS6ST2	XLR
ITGA2B	AR, AD
NSD1	AD
DEL10q26	AD
NSD3	AD
SCN5A	AR, Autosomal recessive form vs. multifactorial, AD
TBG	X-linked
SASS6	AR
TEMPS	Autosomal dominant (loss of paternal allele)
CCDC47	AR
CSF1R	AR, AD
TMEM138	AR
FOXE1	AR, AD
HSD17B10	XLD
FOXE3	AR, AD
PRKDC	AR
SPRY2	AD
LOR	AD
TRPC6	AD
OHDS	AD
SPRY4	Autosomal dominant (see MISCELLANEOUS below)
HPPD	AD
ADSL	AR
EHHADH	AD
MPLKIP	AR
PRSS12	AR
RNF113A	XLD
MYH2	AD
MYH3	AR, AD
COASY	AR
MRE11A	AR
MYH6	AD
MYH7	AR, AD
GAS2L2	AR
CDKL5	XLD
IE	AR
MYH8	AD
MYH9	AD
EXPH5	AR
ZNF341	AR
ECT	Isolated cases
TBX15	AR
RAF1	AD
GABRG2	AD
TBX18	AD
TBX19	AR
X1	AR
ANO6	AR
SLC35C1	AR
CMTDIA	AD
PUS1	AR
XI	AR, AD
FGD1	XLR
Caused by a 1.35-Mb deletion of chromosome 1q21 {UMLS C2675902}	AD
PUS7	AR
GNB5	AR
GNB4	AD
CEP250	AR
GNB1	AD
GNB3	AR, Multifactorial
GTP	AR, AD
DLL3	AR
DLL4	AD
SATB2	AD
MERTK	AR
OPN1LW	XLR, X-linked
ISPD	AR
mis5	AD
{120700.0005})	AD
TMEM5	AR
IR17RC	AR
ELP2	AR
KAT6A	AD
PDA1	AR
CNNM2	AD
CNNM4	AR
RFWD3	AR
8A	AR
RSRC1	AR
UNC84	AR
CSPP1	AR
Caused by chromosome 14 paternal uniparental disomy {UMLS C4017770}	Autosomal dominant (loss of maternal allele)
ABCG8	AR
C1R	AD
RETREG1	AR
MYO9A	AR
GLC1P	AD
POLR1D	AD
CPN1	AR
RANBP2	AD
PIGA	XLR, Somatic mutation
CKAP2L	AR
CRHR1	AD
SLC4A11	AR
TGFB1	AR, AD
TGFB2	AD
TGFB3	AD
chrX:135.6-136.1	XLD
WBS	AD
TGFBR2	AD, Somatic mutation
PBC1	AD
CREATION	AR
NLGN4	X-linked
CMH21	AD
LGI4	AR
SLC5A1	AR
SLC5A2	AD
B	AD, Multifactorial, Digenic recessive, XLD, AR, XLR
LGI1	AD
ECE1	AD, Multifactorial
3B	AR, AD
F13A1	AR, AD
SCLC1	AD
3A	AD, Autosomal dominant (see MISCELLANEOUS below)
FKRP	AR
YWHAZ	AD
OTSC4	AD
Caused by deletion of 1.5Mb on 3q29 encompassing 22 genes {UMLS C2750401}	Isolated cases
APRT	AR
CASQ1	AD
7A	AR
NDUFS1	AR
RPY	Y-linked
CFHR5	AD
NOP56	AD
RB1	AD, Somatic mutation
ALX4	AR, AD
ETS2	AD
XB	AR, AD
CRSA	AD
FEB1	AD
PMFBP1	AR
AURKC	AR
{120700.0001})	AR
NDUFS4	AR
YWHAG	AD
OTSC1	Autosomal dominant with reduced penetrance
RP1	AD
SOX18	AR, AD
MGR12	AD
RP2	XLR, X-linked
DUP5p13	Isolated cases
NDUFS6	AR
ATAD3A	AD
GNPTG	AR
RP9	AD
CYP21A2	AR
CARD11	AR, AD
NDUFS7	AR
M	AR, AD
GLRB	AR
XVIIIB	AR
SYNGAP1	AD
C1S	AD
MGAT2	AR
PANK2	AR
ARR3	X-linked (female limited)
CASC5	AR
DFCTRPS	XLR
TUBA4A	AD
SRGAP1	AD
CHST11	AR
TXN2	AR
AHCY	AR
CHST14	AR
BFSP1	AR
MRD2	AD
OTC	XLR
SIN3	AD
VPS11	AR
HTR1A	AD
88C	AR, AD
TAF1	XLR
88A	AR
CUL4B	XLR
CYP2C19	AR
SCA7	AD
TGFBI	Autosomal dominant (5q22-q33.3), AD
PBCA	AR
HDL3	AR
MMP2	AR
OTU	AR
MMP1	AR
SLC6A3	Genetic factors seem to contribute only in light smokers and heavy smokers, AR
SLC6A1	AD
ACADVL	AR
PTCHD1	XLR
NDUFB9	AR
SLC6A4	AD
GNPTAB	AR
SLC6A9	AR
SLC22A5	AR
NDUFB3	AR
DEAH	AR, AD
IL21	AR
HADHB	AR
POROK2	AD
POROK6	AD
EHMT1	AD
ADGRV1	AR, AD
PLDN	AR
CCT5	AR
KIF2A	AD
MYP15	AD
CAV1	AR, AD
C12orf57	AR
TXNRD2	AR
USH2A	AR
CEP135	AR
PLSA1	AD
Caused by mutation in the crystallin gamma-D gene ({123690.0001})	AD
WASHC5	AR, AD
ATP6AP1	XLR
ANIB3	AD
ATP6AP2	XLR
IRF2BP2	AD
CLN6	AR
CLN5	AR
CLN3	AR
NEXN	AD
CYMD	AD
VSX1	AD
CFHR1	AR, AD
CEP57	AR
SLC30A9	AR
MAPRE2	AD
HTC1	AD
AQP7	AR
BRCA2	Somatic mutation, AR, AD, Somatic
VRK1	AR
ANKS6	AR
LRRC6	AR
WNK1	AR, AD
WNK4	AD
{191290.0001}).	AR
USP27X	XLR
CDGSH	AR
DUPXq27.3q28	XLR
Contiguous gene deletion of 700-1,670kb on chromosome 21q21.33 {UMLS C4479730}	AD
MRXS17	XLR
EPHX2	AD
MRXS12	X-linked
ADCY5	AD
ADCY6	AR
RBBP8	AR
P4HB	AD
PLD1	AR
PLD3	AD
PHB	AD
ENAM	AR, AD
TCF7L2	AD
PHD	AD, XLR
RUNX2	AD
LAMTOR2	AR
RHAG	AD
RUNX1	AD
BMPR2	AD
PNPO	AR
CASP14	AR
DLST	AD
126B	AR
126A	AR
RNF216	AR
LZTR1	AR, AD
C2ORF25	AR
ZBTB24	AR
NR3C1	AD
HMMR	AD
DOCK8	AR, AD
POGO	AD
DOCK2	AR
DOCK3	AR
HRAS	Somatic mutation, Somatic mosaicism, AD, Somatic
CACD1	AD
C12orf4	AR
DOCK7	AR
GRIA4	AD
UNC80	AR
FGF9	AD
MAB21	AR, AD
DFNA30	AD
CC2D1A	AR
{FHL1	XLD, X-linked
BCL2	Somatic mutation
GSHR	AD
XRCC3	AD
XRCC2	AR
CHECK2	Somatic mutation
DYX1C1	AR
Caused by duplication of 1.5 to 1.8 Mb on chromosome 7q11.23 {UMLS C4230143}	AD
GER	AD
KANSL1	AD
SLC9A7	XLR
TRIP4q32.1q32.2	AD
MFF	AR
SLC9A3	AR
LIM2	AR
{603770})	AR
CIT	AR
{313700.0020})	XLR
BICC1	AD
SCNN1G	AR, AD
JUP	AR, AD
TFRC	AR
HYT5	Multifactorial
SCNN1B	AR, AD
SCNN1A	AR, AD
HYT6	Multifactorial
ACVR1	AD
GSN	AD
TM4SF20	AD
EPHB2	AR
CTLA4	AD
TFR2	AR
MC3R	Broad locus on 20q
PLCB4	AD
EPHB4	AD
MHC	AR, Multifactorial
CHKB	AR
ZNF142	AR
DTNBP1	AR
DDC	AR
LAMC3	AR
PRLR	AD
DNAH11	AR
CLN2	AR
ALDH1A3	AR
GPHN	AR
LMNB2	AR, AD
LMNB1	AD
ALDH4A1	AR
LRBA	AR
ESR1	AR, AD
SH3TC2	AR, AD
MRPS22	AR
CUX2	AD
CDC14A	AR
GPR179	AR
SLC39A4	AR
DTNA	AD
BLVRA	AD
PHF8	XLR
PPT1	AR
PPP2R5D	AD
MYCN	AD
CEP19	AR
SMN1	AR
FGF23	AR, AD
FGF20	AR
MSMO1	AR
SMN2	AR
COL4A2	AD
NADH	XLD, AR
YY1	AD
EARS2	AR
LAGE3	XLR
AP1S1	AR
ACTC1	AD
B5A	AR
POLA1	XLR
SPDT	AD
TBX2	AD
TBX3	AD
TBX1	AD
TBX6	AR
LYZ	AD
ADCY10	AD
FBXO7	AR
OPN1MW	XLR, X-linked
KCNA4	AR
KCNA5	AD
KCNA2	AD
A2M	AD
KCNA1	AD
COL4A1	AD
SYCE1	AR
OPTN	AD
SLC10A7	AR
HE1	AR
AP1S2	XLR
C10orf2	AR
MCCC2	AR
VARS2	AR
FHL1	XLD, XLR, X-linked
SLI2	Multifactorial
MCCC1	AR
CD8	AR
SLI1	Multifactorial
ND1	Mitochondrial
CLLS2	AD
ND3	Mitochondrial
FTH1	AD
ND5	Mitochondrial
ND4	Mitochondrial
KDR	AD
ND6	Mitochondrial
RPS26	AD
RPS27	AD
RPS24	AD
DEL5q12	AD
ACACA	AR
RPS23	AD
NDN	Autosomal dominant (loss of paternal allele)
SLFN14	AD
MTND4	Mitochondrial
BDP1	AR
SCA32	AD
RPS28	AD
N	AR, AD
PLA2G2A	Somatic mutation
APPL1	AD
SERPINC1	AD
BTNL2	AD
ALDH7A1	AR
ATRX	XLD, XLR
CHMP1A	AR
UGT1	AR
RAD51B	Somatic mutation
RAD51A	AD
PRSS1	AR, AD
SDHAF2	AD
ERLIN2	AR
TRAC	AR
CIB2	AR
MEGF8	AR
ATL1	AD
PRRT2	AD
RUSC2	AR
COL13A1	AR
SON	AD
TBXT	AR, AD
BMND7	AD
ZNF408	AR, AD
RMD1	AD
SLC35D1	AR
SURF1	AR
GLE1	AR
NTRK1	AR, AD
SLC5A5	AR
SARS2	AR
PC1	AR
NECAP1	AR
{FGFR1	AD
DUP14q32	AD
CYFIP2	AD
KRT71	AD
FANCD2	AR
DIP2B	AD
SLC5A7	AR, AD
AIMP2	AR
TAB2	AD
AIMP1	AR
{613927.0001})	AR
{314850.0001})	X-linked
DFNB62	AR
LGMD1H	AD
PITX3	AD
PSNP2	AD
C21ORF2	AR
DNAJC3	AR
MID2	XLR
DCLRE1C	AR
MID1	XLR
DCPS	AR
WDR35	AR
DNA2	AR, AD
IID6	AR
SIN3A	AD
CBS	AR
SMARCA4	AD
PDB4	AD
TERC	AD
CFAP43	AR
FAT	AR, AD
TBX22	X-linked
VPS33B	AR
FAH	AR
RIPPLY2	AR
SYNJ1	AR
SMOH	Somatic mosaicism
HEY	Y-linked vs. autosomal or both
TBX4	AD
ECEL1	AR
SPG4	AD
TERT	AD
NBAS	AR
PTHB1	AR
KRT12	AD
ZNHIT3	AR
KLK4	AR
HK1	AR, AD
STAC3	AR
TAF2	AR
DEL15q26qter	Isolated cases
OTDD	AD
SLCO2A1	AR
HBFQTL2	AD
IL11RA	AR
AP4E1	AR, AD
GTPBP3	AR
GTPBP2	AR
MADH4	AD
VEGFC	AD
HPCQTL19	Somatic mutation
DEL16p12.1p11.2	Isolated cases
WDPCP	AR
CASP2	AR
OTSC10	AD
C16DELq22	Isolated cases
DRD4	AD
DRD5	AD
DRD3	AD
CASP8	AR, Somatic mutation, AD
DFNB96	AR
ALX3	AR
PURA	AD
SLC9A1	AR
DYT1	AD
NPHP4	AR
STX11	AR
CLIC5	AR
BCL6	XLD
PICALM	AD
T	AR, AD
CNTN2	AR
ACP4	AR
DUP22q13	Isolated cases
PIBF1	AR
ADPRHL2	AR
MAN2B1	AR
PLK1	AR
CLN8	AR
CCV	AD
MC2R	AR
HRPT2	AD
{122561})	AD
CCDC28B	AR
PIH1D3	XLR
AKT2	AD
OAT	AR
LYRM7	AR
EVC2	AR, AD
LYRM4	AR
CLIC2	XLR
HIBCH	AR
NKX2-1	AD
NKX2-5	AD
ATP2B2	AR
A contiguous gene deletion syndrome caused by a deletion (3.9 Mb) of chromosome 2p16.1-p15 {UMLS C2675881}	Isolated cases
HTRA	AR, AD
STUB1	AR, AD
WM1	AD
ZP2	AR
VSPA	XLR
OAS1	Autosomal recessive susceptibility
TRMT1	AR
CAPN5	AD
CAPN3	AR, AD
CACNA2D4	AR
CAPN1	AR
SERPINA6	AD
MYC	Isolated cases
Caused by deletion (1.7Mb) of 1q41-q42 {UMLS C3278238}	Isolated cases
CHMP	AR, AD
Contiguous gene syndrome caused by 324-kb deletion on 19q13.11 {UMLS C4314860}	AD
CSPG2	AD
SMAD3	AD
OASD	X-linked
ENTPD1	AR
HPC4	Somatic mutation
COG2	AR
ALOX5	Autosomal dominant vs. multifactorial
NOD2	AD, Multifactorial
FLI1	Isolated cases, AD
COG6	AR
DYN2CH1	AR
COG4	AR, AD
DLEC1	Somatic mutation
KLHL7	AR, AD
IGHMBP2	AR
KLHL3	AD
TUBA8	AR
IBD3	AD
BZX	XLD
SERPINB7	AR
SERPINB6	AR
KCNMB1	AD
TAF13	AR
PCGF2	AD
TNFRSF10B	AR
MAGED2	XLR
STX16	AD
PX	AR
XIAP	XLR
Caused by mutation in the protease inhibitor 1 gene (PI	AR
MSTO1	AR
ATP8B1	AR, AD
HCF2	AD
NBS1	AR
UBA	X-linked
Caused by contiguous gene deletion at chromosome 2q37 {UMLS C4315391}	AD
DFNB71	AR
ELP4	AD
BBS4	AR
CFTR	AR, AD
PXDN	AR
MBTPS2	XLR
MPD3	AD
DEP	AD
DES	AD
POC1	AR
SPECC1L	AD
ST14	AR
DNAJC5	AD
CCDC115	AR
NPRL3	AD
NPRL2	AD
AMH	Autosomal recessive with male sex limitation
UBAP1	AD
GLS	AR, AD
RPSA	AD
AMN	AR
NYS2	AD
NYS3	AD
ASXL3	AD
ASXL2	AD
TNXB	AR, AD
SOHLH1	AR, AD
NYS4	AD
NYS5	XLD
GUCY1A1	AR
GUCY1A3	AR
SPG41	AD
NEUROG3	AR
DFNB85	AR
GBA2	AR
POLH	AR
AMT	AR
LZTS1	Somatic mutation
DCHS1	AR, AD
RAB7A	AD
SGPL1	AR
SPATA16	AR
TLL1	AD
EFEMP1	AD
DEL8q21.11	AD
EFEMP2	AR
O	AR, AD
RNF6	Somatic mutation
GATOR1	AD
DFNB65	AR
PLEC	AR, AD
PMM2	AR
SERAC1	AR
MTNR1B	AD
TRIM44	AD
PSHK2	AD
PDE6H	AD
BSCL2	AR, AD
IVD	AR
CARMIL2	AR
PEX3	AR
PEX2	AR
PEX5	AR, Autosomal recessive, several forms
IVA	AR
PEX7	AR
PEX6	AR
{313700.0001})	XLR
POMGNT1	AR
POMGNT2	AR
TMEM15	AR
YUHAL	AD
BEAN	AD
CPS1	AR
ARVD4	AD
TONSL	AR
HECW2	AD
132E	AR
WNT5A	AD
ASPN	AD
RBM28	AR
MRT33	AR
NCF2	AR
MRT31	AR
MRT30	AR
CLDN16	AR
ACF	AD
CLDN14	AR
NCF4	AR
PGM3	AR
NR2F1	AD
DYNC1H1	AD
NEB	AR
EPHA2	AD
TENM3	AR
COL5A2	AD
NCAPG2	AR
HFM	AD
DEL17q23.1q23.2	Isolated cases
ARVD3	AD
RING	AR, AD, X-linked
HFE	AR, AD
GAD1	AR
Balanced reciprocal translocation between chromosomes X and 15 {UMLS C4230958}	XLD
CTRCT35	AR
MPZL2	AR
PHYH	AR
TBK1	AD
GPR143	X-linked
MRPS34	AR
JPH1	AR
TBC1D7	AR
C21orf59	AR
TRMT5	AR
MRX95	XLD
KNL1	AR
KDM6B	AD
COD2	X-Linked
CITED2	AD
FGF10	AD
FGF17	Autosomal dominant (see MISCELLANEOUS below)
AMHR2	Autosomal recessive with male sex limitation
FGF14	AD
TBXA2R	AD
S22	AR
MACF1	AD
POMP	AR, AD
TALDO1	AR
DEL11p13	AD
WRAP53	AR
MTHFS	AR
Caused by non-Robertsonian constitutional translocation	Inherited chromosomal imbalance
COL9A2	AR, AD
COL9A3	AD
PDSS1	AR
COL9A1	AD
CC2D2A	AR
Contiguous gene syndrome caused by duplication (1.5 - 3.0 Mb) of chromosome 22q11.2 {UMLS C2750709}	AD
POMC	AR, AD
SYNE1	AR, AD
KCNB1	AD
SYNE4	AR
TNFRSF13C	AR
NAT2	AR
POMK	AR
SEMA3A	Autosomal dominant (see MISCELLANEOUS below)
DEGS1	AR
AURKA	Somatic mutation
TRPS1	AD
SEMA3E	AD
DATE	AR
SETX	AR, AD
XECD	XLD
RIN2	AR
MET	AR, AD, Somatic mutation
ORC6	AR
WWOX	AR, Somatic mutation
UCHL1	AR
DNM1	AD
